episode,reward
0,1159.0
100,962.5
200,1121.5
300,1954.5
400,1979.5
500,1892.0
600,1917.5
700,2029.0
800,1905.0
900,1965.0
1000,2149.0
1100,2305.0
1200,2054.0
1300,2055.5
1400,1880.0
1500,1902.0
1600,1994.0
1700,1808.5
1800,1979.5
1900,1950.0
2000,2194.5
2100,2049.0
2200,2063.0
2300,1877.0
2400,1931.5
2500,2169.5
2600,2202.5
2700,1973.0
2800,1952.5
2900,2053.0
3000,1944.0
3100,2177.0
3200,2051.5
3300,1906.5
3400,1789.0
3500,1891.5
3600,2108.5
3700,1974.5
3800,2087.5
3900,2062.0
4000,1710.0
4100,2071.5
4200,2100.0
4300,1864.5
4400,1903.0
4500,1938.0
4600,1855.5
4700,2055.5
4800,2307.0
4900,2182.5
