episode,reward
0,607.0
100,1083.5
200,1452.0
300,1314.5
400,1410.5
500,1545.5
600,1508.5
700,1572.0
800,1923.5
900,2122.5
1000,1950.5
1100,2292.0
1200,2067.0
1300,2109.5
1400,2146.5
1500,2160.5
1600,2222.5
1700,2295.5
1800,2107.5
1900,2311.5
2000,2271.0
2100,2480.5
2200,2007.0000000000002
2300,2336.5
2400,2246.0
2500,2434.5
2600,2353.0
2700,2233.5
2800,2241.0
2900,1868.0
3000,2156.5
3100,2126.5
3200,2364.5
3300,2293.5
3400,2218.5
3500,2111.5
3600,2261.5
3700,2176.5
3800,2274.0
3900,2061.5
4000,2232.0
4100,2337.5
4200,2088.5
4300,2644.5
4400,2415.0
4500,2331.5
4600,2219.0
4700,2327.5
4800,2256.5
4900,2307.0
