episode,reward
0,-152.5
100,348.5
200,916.5
300,1303.0
400,1576.0
500,1214.5
600,1394.5
700,1085.0
800,1354.0
900,1704.5
1000,1406.5
1100,1535.0
1200,1860.5
1300,1848.5
1400,1792.5
1500,1800.0
1600,1768.5
1700,1697.5
1800,1995.0
1900,1944.5
2000,1952.5
2100,2044.0
2200,2109.0
2300,1997.0
2400,1696.0
2500,1892.0
2600,2300.0
2700,1916.5
2800,1922.5
2900,1827.0
3000,2338.0
3100,2053.5
3200,2093.5
3300,2217.0
3400,1827.5
3500,2062.0
3600,2303.0
3700,1935.5
3800,1947.5
3900,2394.0
4000,2225.0
4100,2319.5
4200,2088.5
4300,2385.5
4400,1985.5
4500,2062.0
4600,1980.0
4700,2324.0
4800,2312.5
4900,2203.5
